cue,trial,raw_text,parsed,ok
errant,3,"wandering, mistake, knight",wandering|mistake|knight,True
errant,4,"wandering, mistake, knight",wandering|mistake|knight,True
errant,5,"wandering, mistake, knight",wandering|mistake|knight,True
errant,6,"wandering, mistake, knight",wandering|mistake|knight,True
errant,7,"wandering, mistake, knight",wandering|mistake|knight,True
errant,8,"wandering, mistake, knight",wandering|mistake|knight,True
errant,9,"wandering, mistake, knight",wandering|mistake|knight,True
conspiracy,0,"theory, secret, plot",theory|secret|plot,True
conspiracy,1,"theory, secret, government",theory|secret|government,True
conspiracy,2,"theory, secret, government",theory|secret|government,True
conspiracy,3,"theory, secret, government",theory|secret|government,True
conspiracy,4,"theory, secret, plot",theory|secret|plot,True
conspiracy,5,"theory, secret, government",theory|secret|government,True
conspiracy,6,"theory, secret, plot",theory|secret|plot,True
conspiracy,7,"theory, secret, government",theory|secret|government,True
conspiracy,8,"theory, secret, government",theory|secret|government,True
conspiracy,9,"theory, secret, government",theory|secret|government,True
woodwind,0,"flute, clarinet, oboe",flute|clarinet|oboe,True
woodwind,1,"flute, clarinet, oboe",flute|clarinet|oboe,True
woodwind,2,"flute, clarinet, oboe",flute|clarinet|oboe,True
woodwind,3,"flute, clarinet, oboe",flute|clarinet|oboe,True
woodwind,4,"flute, clarinet, oboe",flute|clarinet|oboe,True
woodwind,5,"flute, clarinet, oboe",flute|clarinet|oboe,True
woodwind,6,"flute, clarinet, oboe",flute|clarinet|oboe,True
woodwind,7,"flute, clarinet, oboe",flute|clarinet|oboe,True
woodwind,8,"flute, clarinet, oboe",flute|clarinet|oboe,True
woodwind,9,"flute, clarinet, oboe",flute|clarinet|oboe,True
cell,0,"phone, biology, prison",phone|biology|prison,True
cell,1,"phone, biology, prison",phone|biology|prison,True
cell,2,"phone, biology, prison",phone|biology|prison,True
cell,3,"phone, biology, prison",phone|biology|prison,True
cell,4,"phone, biology, prison",phone|biology|prison,True
cell,5,"phone, biology, prison",phone|biology|prison,True
cell,6,"phone, biology, prison",phone|biology|prison,True
cell,7,"phone, biology, prison",phone|biology|prison,True
cell,8,"phone, biology, prison",phone|biology|prison,True
cell,9,"phone, biology, prison",phone|biology|prison,True
